# Baryon_Mass_Density(g/cm^3)  Pressure/c^2(g/cm^3)  Energy_Mass_Density(g/cm^3)
 5.86224624E+14  3.47358258E+13  6.09208836E+14
 6.02973899E+14  3.81349721E+13  6.27654831E+14
 6.19723174E+14  4.17978165E+13  6.46198855E+14
 6.36472449E+14  4.57265843E+13  6.64845421E+14
 6.53221724E+14  4.99190501E+13  6.83598803E+14
 6.69970999E+14  5.43919038E+13  7.02463235E+14
 6.86720274E+14  5.91662857E+13  7.21443211E+14
 7.03469549E+14  6.42577729E+13  7.40543455E+14
 7.20218824E+14  6.96474504E+13  7.59768439E+14
 7.36968099E+14  7.53542331E+13  7.79122413E+14
 7.53717374E+14  8.14126133E+13  7.98610037E+14
 7.70466649E+14  8.78070139E+13  8.18235990E+14
 7.87215924E+14  9.45719270E+13  8.38004936E+14
 8.03965199E+14  1.01688437E+14  8.57921523E+14
 8.20714474E+14  1.09189925E+14  8.77990342E+14
 8.37463749E+14  1.17061925E+14  8.98216003E+14
 8.54213024E+14  1.25340042E+14  9.18603127E+14
 8.70962299E+14  1.34029840E+14  9.39156567E+14
 8.87711574E+14  1.43120192E+14  9.59880941E+14
 9.04460849E+14  1.52644478E+14  9.80780890E+14
 9.37959399E+14  1.73005976E+14  1.02312652E+15
 9.71457949E+14  1.95169967E+14  1.06623106E+15
 1.00495650E+15  2.19303350E+14  1.11013331E+15
 1.03845505E+15  2.45361617E+14  1.15487167E+15
 1.07195360E+15  2.73545046E+14  1.20048442E+15
 1.10545215E+15  3.03853636E+14  1.24701069E+15
 1.13895070E+15  3.36254010E+14  1.29448676E+15
 1.17244925E+15  3.71146719E+14  1.34295193E+15
 1.20594780E+15  4.08298108E+14  1.39244598E+15
 1.23944635E+15  4.47930708E+14  1.44300610E+15
 1.27294490E+15  4.90022264E+14  1.49467026E+15
 1.30644345E+15  5.34773054E+14  1.54747671E+15
 1.33994200E+15  5.82327722E+14  1.60146618E+15
 1.37344055E+15  6.32530498E+14  1.65667733E+15
 1.40693910E+15  6.85559406E+14  1.71314709E+15
 1.44043765E+15  7.41392191E+14  1.77091255E+15
 1.47393620E+15  8.00218006E+14  1.83001094E+15
 1.50743475E+15  8.62214874E+14  1.89048198E+15
 1.54093330E+15  9.27215897E+14  1.95236386E+15
 1.57443185E+15  9.95376847E+14  2.01569288E+15
 1.60793040E+15  1.06689800E+15  2.08050759E+15
 1.64142895E+15  1.14180161E+15  2.14684729E+15
 1.67492750E+15  1.22002092E+15  2.21474922E+15
 1.70842605E+15  1.30146691E+15  2.28424763E+15
 1.74192460E+15  1.38680718E+15  2.35538086E+15
 1.77542315E+15  1.47559666E+15  2.42818822E+15
 1.80892170E+15  1.56805789E+15  2.50270527E+15
 1.84242025E+15  1.66419087E+15  2.57896834E+15
 1.87591880E+15  1.76499697E+15  2.65702137E+15
 1.90941735E+15  1.86713826E+15  2.73688672E+15
 1.94291590E+15  1.97628924E+15  2.81860472E+15
 1.97641445E+15  2.08722046E+15  2.90222018E+15
 2.00991300E+15  2.20360367E+15  2.98776158E+15
 2.04341155E+15  2.32332483E+15  3.07527047E+15
 2.07691010E+15  2.44838671E+15  3.16478540E+15
 2.11040865E+15  2.57511757E+15  3.25633113E+15
 2.14390720E+15  2.70919191E+15  3.34994610E+15
 2.17740575E+15  2.84638168E+15  3.44568033E+15
 2.21090430E+15  2.98746572E+15  3.54355504E+15
 2.24440285E+15  3.13366795E+15  3.64360590E+15
